term,type,base_term
actin filaments,entity,actin filament
actin filaments,entity,actin filament
actin ring,event,actin ring
anaphase,entity,anaphase
animal cell,entity,animal cell
cell,entity,cell
cell cycle,event,cell cycle
cell cytoplasm,entity,cell cytoplasm
cell division,event,cell division
cell elongation,event,cell elongation
cell growth,entity,cell growth
cell motion,entity,cell motion
cell nucleus,entity,cell nucleus
cell organelles,entity,cell organelle
cell plate,entity,cell plate
centrioles,entity,centriole
centromere,entity,centromere
centromeric region,entity,centromeric region
centrosome,entity,centrosome
change phase,entity,change phase
chromatid,entity,chromatid
chromatin configuration,event,chromatin configuration
chromosomal DNA,entity,chromosomal dna
chromosome,entity,chromosome
cleavage furrow,entity,cleavage furrow
cohesin proteins,entity,cohesin protein
condensin proteins,entity,condensin protein
contact,event,contact
contractile ring,event,contractile ring
cytokinesis,event,cytokinesis
cytokinesis micrograph,entity,cytokinesis micrograph
cytoplasmic,entity,cytoplasmic
cytoplasmic division,event,cytoplasmic division
cytoskeleton,entity,cytoskeleton
daughter cell,entity,daughter cell
daughter cells,entity,daughter cell
distance phase,entity,distance phase
divide,event,divide
dividing cell,entity,divide cell
DNA,entity,dna
DNA molecules,entity,dna molecule
DNA replication,event,dna replication
endoplasmic reticulum,entity,endoplasmic reticulum
energy reserves,entity,energy reserve
energy stores,entity,energy store
equatorial plane,entity,equatorial plane
eukaryotes,entity,eukaryote
eukaryotic,entity,eukaryotic
external,entity,external
external signal,entity,external signal
fissure,entity,fissure
fluorescence,entity,fluorescence
fluorescent,entity,fluorescent
furrow,entity,furrow
glucose,entity,glucose
glucose molecules,entity,glucose molecule
Golgi apparatus,entity,Golgi apparatus
Golgi complex,entity,Golgi complex
Golgi membranes,entity,Golgi membrane
Golgi vesicles,entity,Golgi vesicle
growth,entity,growth
growth factors,entity,growth factor
homologous chromosomes,entity,homologous chromosome
internal,entity,internal
interphase,entity,interphase
Karyokinesis,event,karyokinesis
kinetochore,entity,kinetochore
kinetochores,entity,kinetochore
light microscope,entity,light microscope
mature cardiac muscle,entity,mature cardiac muscle
membrane,entity,membrane
membranous organelles,entity,membranous organelle
membranous organelles,entity,membranous organelle
metaphase,entity,metaphase
metaphase plate,entity,metaphase plate
micrographs,entity,micrograph
microtubule,entity,microtubule
microtubule fibers,entity,microtubule fiber
microtubules,entity,microtubule
mitosis,event,mitosis
mitotic fiber,entity,mitotic fiber
mitotic phase,entity,mitotic phase
mitotic spindle,entity,mitotic spindle
mitotic spindle microtubules,entity,mitotic spindle microtubule
multinucleate cells,entity,multinucleate cell
multistep process,event,multistep process
nerve cells,entity,nerve cell
nuclear,entity,nuclear
nuclear area,entity,nuclear area
nuclear division,event,nuclear division
nuclear DNA,entity,nuclear dna
nuclear envelope,entity,nuclear envelope
nucleolus,entity,nucleolus
nucleosomes,entity,nucleosome
nucleus,entity,nucleus
periphery,entity,periphery
phragmoplast,entity,phragmoplast
plane,entity,plane
plant cells,entity,plant cell
plants,entity,plant
plasma membrane,entity,plasma membrane
polar microtubules,entity,polar microtubule
prometaphase,entity,prometaphase
protein structure,entity,protein structure
proteins,entity,protein
sister chromatid,entity,sister chromatid
spindle,entity,spindle
spindle apparatus,entity,spindle apparatus
spindle microtubules,entity,spindle microtubule
structural proteins,entity,structural protein
structure,entity,structure
telophase,entity,telophase
tubulin monomers,entity,tubulin monomer
upward phase,entity,upward phase
van,entity,van
vesicles,entity,vesicle
vesicular structure,entity,vesicular structure
G0,event,G0
G0 phase,event,G0
G0 stage,event,G0
divide,event,divide
G1,event,G1
G1 phase,event,G1
G1 stage,event,G1
nutrients,entity,nutrient
nutrient,entity,nutrient
environmental conditions,entity,enviomental condition
quiescent (inactive) stage,entity,inactive stage
cell wall,entity,cell wall
enzymes,entity,enzyme
cleavage furrow,entity,furrow
furrow,entity,furrow
fissure,entity,furrow
cell components,entity,cell components
chromosomes,entity,chromosome
depolymerized,event,depolymerize
depolymerized,event,deploymerize
poles,entity,pole
poles,entity,pole
decondense,event,decondense
astral microtubules,entity,astral microtubule
centrosomes,entity,centrosome
prophase,event,prophase
duplicated chromosomes,entity,chromosome
duplicated chromosome,entity,chromosome
G2 phase,event,G2
G2,event,G2
G2 stage,event,G2
fungi,entity,fungus
fungus,entity,fungus
S phase,event,S
S stage,event,S
S,event,S
internal conditions,entity,internal condition
external conditions,entity,external condition
phase,entity,phase
replicated,event,replicate
replicated,event,replicate
replication,event,replicate
cytoplasmic contents,entity,cytoplasmic content
cytoplasmic content,entity,cytoplasmic content
